"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",4,"normal",102.5,8,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",5,"normal",102.5,8,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",6,"normal",102.5,8,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Hip Thrust (Barbell)",,"",0,"normal",40,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Hip Thrust (Barbell)",,"",1,"normal",40,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Upright Row",,"",0,"normal",20,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Upright Row",,"",1,"normal",20,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Bridge",,"",0,"normal",,,,60,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Bridge",,"",1,"normal",,,,60,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Bicep Curl",,"",0,"normal",45,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Bicep Curl",,"",1,"normal",43,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Hip Abduction",,"",0,"normal",14,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Hip Abduction",,"",1,"normal",14,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Kneeling Crunch (Rope)",,"",0,"normal",73,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Kneeling Crunch (Rope)",,"",1,"normal",73,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Lat Pulldown (Wide Grip)",,"",0,"normal",64,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Lat Pulldown (Wide Grip)",,"",1,"normal",64,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Lat Pulldown (Wide Grip)",,"",2,"normal",64,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Lat Pulldown (Wide Grip)",,"",3,"normal",64,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Seated Row",,"",0,"normal",64,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Seated Row",,"",1,"normal",64,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cable Seated Row",,"",2,"normal",64,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Cat Cow Stretch",,"",0,"normal",,8,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Child Pose Side Stretch",,"",0,"normal",,,,60,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Dumbbell Lateral Lunge with Bicep Curl",,"",0,"normal",10,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Dumbbell Lateral Lunge with Bicep Curl",,"",1,"normal",10,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Dumbbell Lateral Lunge with Bicep Curl",,"",2,"normal",10,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Glute Stretch",,"",0,"normal",,8,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Kettlebell Single-Leg Deadlift",,"",0,"normal",12,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Kettlebell Single-Leg Deadlift",,"",1,"normal",12,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Kettlebell Single-Leg Deadlift",,"",2,"normal",12,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Kettlebell Swing",,"",0,"normal",16,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Kettlebell Swing",,"",1,"normal",16,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Machine Hip Abduction",,"",0,"normal",55,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Machine Hip Abduction",,"",1,"normal",61,12,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Machine Reverse Fly",,"",0,"normal",30,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Machine Reverse Fly",,"",1,"normal",30,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Wide Leg Stretch",,"",0,"normal",,,,60,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Deep Squat",,"",0,"normal",,1,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",0,"normal",20,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",1,"normal",50,4,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",2,"normal",80,4,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",3,"normal",100,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",4,"normal",100,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",5,"normal",100,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Barbell Squat",,"",6,"normal",100,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bodyweight Lunge",,"",0,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Cable External Rotation",,"",0,"normal",9,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Cable External Rotation",,"",1,"normal",9,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Cable Tricep Pushdown (V-Bar)",,"",0,"normal",54,15,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Cable Tricep Pushdown (V-Bar)",,"",1,"normal",54,15,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Cat Cow Stretch",,"",0,"normal",,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Clap Push-Up",,"",0,"normal",,5,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",0,"normal",15,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",1,"normal",22.5,4,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",2,"normal",30,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",3,"normal",30,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",4,"normal",30,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Bench Press (Dumbbell)",,"",5,"normal",30,8,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Dumbbell Seated Shoulder Press",,"",0,"normal",22.5,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Dumbbell Seated Shoulder Press",,"",1,"normal",22.5,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Dumbbell Seated Shoulder Press",,"",2,"normal",22.5,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Jump Squat",,"",0,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Fly",,"",0,"normal",43,12,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Fly",,"",1,"normal",43,12,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Leg Curl (Prone)",,"",0,"normal",36,12,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Leg Curl (Prone)",,"",1,"normal",36,12,,,
