sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
3567840685404303064,STAGES,439,0,0,428,11,0,0,+00:00,2024-05-13 23:30:00+0000,+00:00,2024-05-14 06:49:00+0000,DERIVED,2024-05-14 05:10:00+0000,2024-05-14 05:10:07+0000
3580364268353302536,STAGES,334,3,0,325,9,0,0,+00:00,2023-10-08 02:13:00+0000,+00:00,2023-10-08 07:50:00+0000,DERIVED,2023-10-08 06:05:00+0000,2023-10-08 06:05:04+0000
3605349385379286328,STAGES,478,0,0,465,13,0,0,+00:00,2024-01-09 22:59:30+0000,+00:00,2024-01-10 06:58:00+0000,DERIVED,2024-01-10 07:45:00+0000,2024-01-10 07:45:24+0000
3608276437213579680,STAGES,420,1,0,393,27,0,0,+00:00,2024-05-25 02:32:00+0000,+00:00,2024-05-25 09:33:00+0000,DERIVED,2024-05-25 08:04:00+0000,2024-05-25 08:04:41+0000
3620765550157676072,STAGES,284,0,0,257,27,0,0,+00:00,2023-12-04 21:43:00+0000,+00:00,2023-12-05 02:27:30+0000,DERIVED,2023-12-05 08:28:00+0000,2023-12-05 08:28:44+0000
3624884991118823248,STAGES,378,0,0,374,4,0,0,+00:00,2024-02-27 02:43:00+0000,+00:00,2024-02-27 09:01:30+0000,DERIVED,2024-02-27 08:16:00+0000,2024-02-27 08:16:38+0000
363759341807972024,STAGES,456,0,0,439,17,0,0,+00:00,2024-02-15 00:50:00+0000,+00:00,2024-02-15 08:26:00+0000,DERIVED,2024-02-15 07:44:00+0000,2024-02-15 07:44:23+0000
3658986285452662024,STAGES,481,0,0,443,38,0,0,+00:00,2023-09-20 00:36:30+0000,+00:00,2023-09-20 08:37:30+0000,DERIVED,2023-09-20 06:56:00+0000,2023-09-20 06:56:10+0000
3674123422927078336,STAGES,385,0,0,379,6,0,0,+00:00,2024-05-19 03:08:30+0000,+00:00,2024-05-19 09:33:30+0000,DERIVED,2024-05-19 08:31:00+0000,2024-05-19 08:31:36+0000
3689420031685005496,STAGES,498,0,0,466,32,0,0,+00:00,2023-11-26 21:13:30+0000,+00:00,2023-11-27 05:32:00+0000,DERIVED,2023-11-27 08:10:00+0000,2023-11-27 10:56:47+0000
378418259684543232,STAGES,297,0,0,260,37,0,0,+00:00,2024-07-26 01:51:00+0000,+00:00,2024-07-26 06:48:30+0000,DERIVED,2024-07-26 05:05:00+0000,2024-07-26 05:05:40+0000
3794106310372468480,STAGES,436,0,0,410,26,0,0,+00:00,2023-10-29 00:05:30+0000,+00:00,2023-10-29 07:21:30+0000,DERIVED,2023-10-29 06:22:00+0000,2023-10-29 06:22:49+0000
3856317590272086968,STAGES,548,0,0,480,68,0,0,+00:00,2023-12-13 23:27:30+0000,+00:00,2023-12-14 08:35:30+0000,DERIVED,2023-12-14 15:19:00+0000,2023-12-14 15:19:16+0000
3862071806093152488,STAGES,296,0,0,287,9,0,0,+00:00,2024-03-27 23:19:00+0000,+00:00,2024-03-28 04:15:30+0000,DERIVED,2024-03-28 08:52:00+0000,2024-03-28 08:52:55+0000
