device_id,device_fitbit_device_type,algorithm_version,service_version,start_time,positive,heart_beats
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 07:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 08:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 08:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 19:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 19:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 19:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 20:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 20:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 20:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 00:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 01:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 02:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 03:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 04:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 05:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-14 06:37:30+0100,false,[]
