name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-10 00:00:00 - 2025-12-11 00:00:00,ENABLED,2025-12-09 23:21:44+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-10 00:00:00 - 2025-12-11 00:00:00,ENABLED,2025-12-10 06:15:19+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-11 00:00:00 - 2025-12-12 00:00:00,ENABLED,2025-12-10 23:17:27+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-11 00:00:00 - 2025-12-12 00:00:00,ENABLED,2025-12-11 06:33:50+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-12 00:00:00 - 2025-12-13 00:00:00,ENABLED,2025-12-12 00:45:21+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-12 00:00:00 - 2025-12-13 00:00:00,ENABLED,2025-12-12 05:52:15+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 19)",2025-10-25 00:00:00 - 2025-10-26 00:00:00,ENABLED,2025-10-24 22:04:39+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-14 00:00:00 - 2025-09-15 00:00:00,ENABLED,2025-09-13 22:21:17+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-14 00:00:00 - 2025-09-15 00:00:00,ENABLED,2025-09-14 05:04:11+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-15 00:00:00 - 2025-09-16 00:00:00,ENABLED,2025-09-14 22:24:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-15 00:00:00 - 2025-09-16 00:00:00,ENABLED,2025-09-15 05:07:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-16 00:00:00 - 2025-09-17 00:00:00,ENABLED,2025-09-15 22:18:05+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 20)",2025-09-16 00:00:00 - 2025-09-17 00:00:00,ENABLED,2025-09-16 06:00:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 21)",2026-01-01 00:00:00 - 2026-01-02 00:00:00,ENABLED,2026-01-01 08:14:17+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-22 00:00:00 - 2025-09-23 00:00:00,ENABLED,2025-09-21 23:50:56+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-22 00:00:00 - 2025-09-23 00:00:00,ENABLED,2025-09-22 05:27:23+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-23 00:00:00 - 2025-09-24 00:00:00,ENABLED,2025-09-22 22:24:01+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-23 00:00:00 - 2025-09-24 00:00:00,ENABLED,2025-09-23 06:32:25+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-24 00:00:00 - 2025-09-25 00:00:00,ENABLED,2025-09-23 22:22:50+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-24 00:00:00 - 2025-09-25 00:00:00,ENABLED,2025-09-24 06:36:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-25 00:00:00 - 2025-09-26 00:00:00,ENABLED,2025-09-25 02:10:38+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-25 00:00:00 - 2025-09-26 00:00:00,ENABLED,2025-09-25 07:45:59+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-25 00:00:00 - 2025-09-26 00:00:00,ENABLED,2025-09-25 07:45:59+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-09-26 00:00:00 - 2025-09-27 00:00:00,ENABLED,2025-09-25 22:39:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-26 00:00:00 - 2025-10-27 00:00:00,ENABLED,2025-10-25 23:50:56+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-26 00:00:00 - 2025-10-27 00:00:00,ENABLED,2025-10-26 07:50:32+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-27 00:00:00 - 2025-10-28 00:00:00,ENABLED,2025-10-26 23:29:37+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-28 00:00:00 - 2025-10-29 00:00:00,ENABLED,2025-10-27 23:16:17+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-29 00:00:00 - 2025-10-30 00:00:00,ENABLED,2025-10-28 23:16:25+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-29 00:00:00 - 2025-10-30 00:00:00,ENABLED,2025-10-29 08:13:34+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-30 00:00:00 - 2025-10-31 00:00:00,ENABLED,2025-10-29 23:25:10+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-30 00:00:00 - 2025-10-31 00:00:00,ENABLED,2025-10-30 06:16:20+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-31 00:00:00 - 2025-11-01 00:00:00,ENABLED,2025-10-30 23:19:59+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 22)",2025-10-31 00:00:00 - 2025-11-01 00:00:00,ENABLED,2025-10-31 05:21:03+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 23)",2026-01-10 00:00:00 - 2026-01-11 00:00:00,ENABLED,2026-01-09 23:21:28+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 23)",2026-01-10 00:00:00 - 2026-01-11 00:00:00,ENABLED,2026-01-10 06:42:14+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 24)",2025-09-27 00:00:00 - 2025-09-28 00:00:00,ENABLED,2025-09-26 22:27:20+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 24)",2026-01-12 00:00:00 - 2026-01-13 00:00:00,ENABLED,2026-01-11 23:30:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 24)",2026-01-12 00:00:00 - 2026-01-13 00:00:00,ENABLED,2026-01-12 05:15:13+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 24)",2026-01-14 00:00:00 - 2026-01-15 00:00:00,ENABLED,2026-01-13 23:17:23+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 24)",2026-01-14 00:00:00 - 2026-01-15 00:00:00,ENABLED,2026-01-14 05:34:48+0000,,,,,GOALS,,,
