timestamp,lap time,stroke count,stroke type,data source
2025-08-05T08:28:10Z,00:00:28.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:29:00Z,00:00:14.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:29:19Z,00:00:11.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:29:37Z,00:00:32.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:30:13Z,00:00:33.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:30:50Z,00:00:16.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:31:23Z,00:00:40.000,19,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:32:45Z,00:00:22.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:33:32Z,00:00:12.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:34:08Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:34:28Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:34:50Z,00:00:34.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:35:30Z,00:00:26.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:36:07Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:36:36Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:37:14Z,00:00:22.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:37:41Z,00:00:26.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:16:43Z,00:00:12.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:20:55Z,00:00:38.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:21:45Z,00:00:30.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:22:21Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
