timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T08:31:32Z,0,0,0,Charge 6
2025-01-07T08:31:33Z,2,0,0,Charge 6
2025-01-07T08:31:34Z,2,0,0,Charge 6
2025-01-07T08:31:35Z,0,0,0,Charge 6
2025-01-07T08:31:36Z,0,0,0,Charge 6
2025-01-07T08:31:37Z,0,0,0,Charge 6
2025-01-07T08:31:38Z,0,0,0,Charge 6
2025-01-07T08:31:39Z,0,0,0,Charge 6
2025-01-07T08:31:40Z,0,0,0,Charge 6
2025-01-07T08:31:41Z,0,0,0,Charge 6
2025-01-07T08:31:42Z,0,0,0,Charge 6
2025-01-07T08:31:43Z,0,0,0,Charge 6
2025-01-07T08:31:44Z,0,0,0,Charge 6
2025-01-07T08:31:45Z,0,0,0,Charge 6
2025-01-07T08:31:46Z,0,0,0,Charge 6
2025-01-07T08:31:47Z,0,0,0,Charge 6
2025-01-07T08:31:48Z,0,0,0,Charge 6
2025-01-07T08:31:49Z,0,0,0,Charge 6
2025-01-07T08:31:50Z,0,0,0,Charge 6
2025-01-07T08:31:51Z,0,0,0,Charge 6
2025-01-07T08:31:52Z,0,0,0,Charge 6
2025-01-07T08:31:53Z,0,0,0,Charge 6
2025-01-07T08:31:54Z,0,0,0,Charge 6
2025-01-07T08:31:55Z,0,0,0,Charge 6
2025-01-07T08:31:56Z,0,0,0,Charge 6
2025-01-07T08:31:57Z,0,0,0,Charge 6
2025-01-07T08:31:58Z,0,0,0,Charge 6
2025-01-07T08:31:59Z,0,0,0,Charge 6
2025-01-07T08:32:00Z,0,0,0,Charge 6
2025-01-07T08:32:01Z,0,0,0,Charge 6
2025-01-07T08:32:02Z,0,0,0,Charge 6
2025-01-07T08:32:03Z,0,0,0,Charge 6
2025-01-07T08:32:04Z,0,0,0,Charge 6
2025-01-07T08:32:05Z,0,0,0,Charge 6
2025-01-07T08:32:06Z,0,0,0,Charge 6
2025-01-07T08:32:07Z,0,0,0,Charge 6
2025-01-07T08:32:08Z,0,0,0,Charge 6
2025-01-07T08:32:09Z,0,0,0,Charge 6
2025-01-07T08:32:10Z,0,0,0,Charge 6
2025-01-07T08:32:11Z,0,0,0,Charge 6
2025-01-07T09:31:14Z,1,0,0,Charge 6
2025-01-07T09:31:15Z,2,0,0,Charge 6
2025-01-07T09:31:16Z,2,180,0,Charge 6
2025-01-07T09:31:17Z,2,320,0,Charge 6
2025-01-07T09:31:18Z,2,460,0,Charge 6
2025-01-07T09:31:19Z,2,650,0,Charge 6
2025-01-07T09:31:20Z,1,750,0,Charge 6
2025-01-07T09:31:21Z,2,830,0,Charge 6
2025-01-07T09:31:22Z,2,910,0,Charge 6
2025-01-07T09:31:23Z,2,960,0,Charge 6
2025-01-07T09:31:24Z,2,1000,0,Charge 6
2025-01-07T09:31:25Z,1,1040,0,Charge 6
2025-01-07T09:31:26Z,2,1300,0,Charge 6
2025-01-07T09:31:27Z,2,1320,0,Charge 6
2025-01-07T09:31:28Z,2,1340,0,Charge 6
2025-01-07T09:31:29Z,2,1340,0,Charge 6
