timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2024-01-06T07:55:00Z,13.132,0.0,Fitbit App
2024-01-06T08:00:00Z,12.144,0.0,Fitbit App
2024-01-06T08:05:00Z,13.391,0.0,Fitbit App
2024-01-06T08:10:00Z,13.498,0.0,Fitbit App
2024-01-06T08:15:00Z,13.978,0.0,Fitbit App
2024-01-06T08:20:00Z,11.387,0.0,Fitbit App
2024-01-06T08:25:00Z,14.806,0.0,Fitbit App
2024-01-06T08:30:00Z,11.737,0.0,Fitbit App
2024-01-06T08:35:00Z,11.077,0.0,Fitbit App
2024-01-06T08:40:00Z,13.53,0.0,Fitbit App
2024-01-06T08:45:00Z,11.116,0.0,Fitbit App
2024-01-07T01:00:00Z,10.016,0.0,Fitbit App
