timestamp,heart rate zone,total minutes,data source
2021-06-13T09:22:00Z,FAT_BURN,1,Charge 4
2021-06-13T09:23:00Z,CARDIO,2,Charge 4
2021-06-13T09:24:00Z,CARDIO,2,Charge 4
2021-06-13T10:51:00Z,CARDIO,2,Charge 4
2021-06-13T10:52:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:53:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:54:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:55:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:56:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:57:00Z,CARDIO,2,Charge 4
2021-06-13T10:58:00Z,FAT_BURN,1,Charge 4
2021-06-13T10:59:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:00:00Z,CARDIO,2,Charge 4
2021-06-13T11:01:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:02:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:03:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:04:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:05:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:06:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:07:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:08:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:09:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:10:00Z,FAT_BURN,1,Charge 4
2021-06-13T11:11:00Z,FAT_BURN,1,Charge 4
2021-06-14T07:43:00Z,FAT_BURN,1,Charge 4
2021-06-14T08:02:00Z,FAT_BURN,1,Charge 4
2021-06-14T08:03:00Z,FAT_BURN,1,Charge 4
2021-06-14T08:04:00Z,FAT_BURN,1,Charge 4
2021-06-14T13:33:00Z,FAT_BURN,1,Charge 4
2021-06-14T13:34:00Z,CARDIO,2,Charge 4
2021-06-14T13:35:00Z,PEAK,2,Charge 4
2021-06-14T13:36:00Z,CARDIO,2,Charge 4
2021-06-14T13:37:00Z,FAT_BURN,1,Charge 4
2021-06-14T13:57:00Z,FAT_BURN,1,Charge 4
2021-06-14T14:17:00Z,FAT_BURN,1,Charge 4
2021-06-14T17:46:00Z,FAT_BURN,1,Charge 4
2021-06-14T17:47:00Z,FAT_BURN,1,Charge 4
2021-06-14T18:31:00Z,FAT_BURN,1,Charge 4
2021-06-14T19:20:00Z,FAT_BURN,1,Charge 4
2021-06-15T18:52:00Z,FAT_BURN,1,Charge 4
2021-06-15T18:53:00Z,FAT_BURN,1,Charge 4
2021-06-17T14:23:00Z,FAT_BURN,1,Charge 4
2021-06-17T19:53:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:31:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:48:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:50:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:51:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:52:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:53:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:54:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:55:00Z,FAT_BURN,1,Charge 4
2021-06-18T08:56:00Z,FAT_BURN,1,Charge 4
2021-06-18T12:52:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:10:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:11:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:17:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:18:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:20:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:21:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:27:00Z,FAT_BURN,1,Charge 4
2021-06-18T13:30:00Z,FAT_BURN,1,Charge 4
2021-06-18T15:45:00Z,FAT_BURN,1,Charge 4
2021-06-18T15:46:00Z,FAT_BURN,1,Charge 4
2021-06-18T15:52:00Z,FAT_BURN,1,Charge 4
2021-06-18T17:21:00Z,FAT_BURN,1,Charge 4
2021-06-18T17:28:00Z,FAT_BURN,1,Charge 4
2021-06-19T00:01:00Z,FAT_BURN,1,Charge 4
2021-06-19T00:03:00Z,FAT_BURN,1,Charge 4
2021-06-19T00:06:00Z,FAT_BURN,1,Charge 4
2021-06-19T07:43:00Z,FAT_BURN,1,Charge 4
2021-06-20T16:30:00Z,FAT_BURN,1,Charge 4
2021-06-20T18:23:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:28:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:29:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:30:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:31:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:33:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:35:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:36:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:37:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:38:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:39:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:40:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:41:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:42:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:44:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:45:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:46:00Z,FAT_BURN,1,Charge 4
