timestamp,gain,data source
2023-01-25T10:45:00Z,3048,Charge 4
2023-01-25T16:30:00Z,6096,Charge 4
2023-01-25T16:31:00Z,3048,Charge 4
2023-01-25T16:32:00Z,3048,Charge 4
2023-01-25T16:50:00Z,3048,Charge 4
2023-01-25T17:50:00Z,3048,Charge 4
2023-01-25T17:55:00Z,3048,Charge 4
2023-01-25T18:00:00Z,3048,Charge 4
2023-01-25T18:20:00Z,3048,Charge 4
2023-01-25T19:52:00Z,3048,Charge 4
2023-01-25T20:04:00Z,3048,Charge 4
2023-01-25T20:09:00Z,3048,Charge 4
2023-01-25T20:48:00Z,3048,Charge 4
2023-01-25T22:05:00Z,3048,Charge 4
2023-01-25T22:14:00Z,3048,Charge 4
2023-01-26T10:55:00Z,3048,Charge 4
2023-01-26T10:57:00Z,3048,Charge 4
2023-01-26T13:09:00Z,3048,Charge 4
2023-01-26T17:03:00Z,3048,Charge 4
2023-01-27T17:07:00Z,3048,Charge 4
2023-01-27T17:58:00Z,3048,Charge 4
2023-01-27T18:13:00Z,3048,Charge 4
2023-01-27T19:09:00Z,3048,Charge 4
2023-01-27T21:23:00Z,3048,Charge 4
2023-01-28T08:33:00Z,3048,Charge 4
2023-01-28T08:39:00Z,3048,Charge 4
2023-01-28T10:49:00Z,6096,Charge 4
2023-01-28T11:13:00Z,6096,Charge 4
2023-01-28T11:15:00Z,6096,Charge 4
2023-01-28T11:17:00Z,6096,Charge 4
2023-01-28T11:18:00Z,3048,Charge 4
2023-01-28T11:20:00Z,3048,Charge 4
2023-01-28T11:33:00Z,3048,Charge 4
2023-01-28T12:22:00Z,9144,Charge 4
2023-01-28T12:45:00Z,3048,Charge 4
2023-01-28T15:43:00Z,3048,Charge 4
2023-01-28T17:18:00Z,3048,Charge 4
2023-01-28T18:33:00Z,6096,Charge 4
2023-01-28T19:00:00Z,6096,Charge 4
2023-01-28T19:01:00Z,3048,Charge 4
2023-01-28T19:02:00Z,6096,Charge 4
2023-01-28T19:03:00Z,6096,Charge 4
2023-01-28T19:04:00Z,9144,Charge 4
2023-01-28T19:05:00Z,3048,Charge 4
2023-01-28T19:06:00Z,3048,Charge 4
2023-01-28T19:25:00Z,3048,Charge 4
2023-01-28T20:09:00Z,3048,Charge 4
2023-01-28T20:43:00Z,3048,Charge 4
2023-01-28T21:42:00Z,3048,Charge 4
2023-01-28T21:43:00Z,3048,Charge 4
2023-01-28T23:35:00Z,3048,Charge 4
2023-01-29T13:19:00Z,3048,Charge 4
2023-01-29T14:13:00Z,3048,Charge 4
2023-01-29T14:17:00Z,3048,Charge 4
2023-01-29T14:42:00Z,3048,Charge 4
2023-01-29T14:43:00Z,6096,Charge 4
2023-01-29T14:48:00Z,3048,Charge 4
2023-01-29T14:49:00Z,3048,Charge 4
2023-01-29T14:50:00Z,6096,Charge 4
2023-01-29T14:51:00Z,6096,Charge 4
2023-01-29T15:11:00Z,3048,Charge 4
2023-01-29T15:19:00Z,3048,Charge 4
2023-01-29T15:20:00Z,3048,Charge 4
2023-01-29T15:23:00Z,3048,Charge 4
2023-01-29T17:07:00Z,3048,Charge 4
2023-01-29T17:50:00Z,3048,Charge 4
2023-01-29T18:28:00Z,3048,Charge 4
2023-01-29T19:49:00Z,3048,Charge 4
2023-01-29T20:03:00Z,3048,Charge 4
2023-01-29T20:08:00Z,3048,Charge 4
2023-01-29T20:10:00Z,3048,Charge 4
2023-01-29T21:46:00Z,3048,Charge 4
2023-01-30T07:53:00Z,3048,Charge 4
2023-01-30T07:54:00Z,3048,Charge 4
2023-01-30T07:55:00Z,3048,Charge 4
2023-01-30T07:57:00Z,3048,Charge 4
2023-01-30T08:01:00Z,3048,Charge 4
2023-01-30T08:16:00Z,3048,Charge 4
