timestamp,level,data source
2025-03-02T14:54:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:55:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:56:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:57:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:58:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:59:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:00:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:01:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:02:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:09:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:10:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:11:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:12:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:13:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:14:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:20:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:21:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:22:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:23:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:24:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:26:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:27:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:28:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:29:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:30:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T15:31:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:32:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:33:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:34:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T15:35:40Z,VERY_ACTIVE,Fitbit App
