timestamp,distance,data source
2023-06-03T19:39:00Z,11.50,Charge 5
2023-06-03T19:41:00Z,7.60,Charge 5
2023-06-03T19:48:00Z,5.30,Charge 5
2023-06-03T19:49:00Z,8.40,Charge 5
2023-06-03T19:50:00Z,12.20,Charge 5
2023-06-03T19:57:00Z,5.30,Charge 5
2023-06-03T20:11:00Z,4.60,Charge 5
2023-06-03T20:14:00Z,26.10,Charge 5
2023-06-03T20:15:00Z,12.20,Charge 5
2023-06-03T20:16:00Z,10.70,Charge 5
2023-06-03T21:26:00Z,14.50,Charge 5
2023-06-03T23:43:00Z,5.30,Charge 5
2023-06-03T23:44:00Z,16.10,Charge 5
2023-06-04T00:30:00Z,7.60,Charge 5
2023-06-04T03:05:00Z,6.10,Charge 5
2023-06-04T05:37:00Z,5.30,Charge 5
2023-06-04T05:38:00Z,7.60,Charge 5
2023-06-04T05:39:00Z,1.50,Charge 5
2023-06-04T05:40:00Z,11.50,Charge 5
2023-06-04T05:41:00Z,7.60,Charge 5
2023-06-04T05:42:00Z,11.50,Charge 5
2023-06-04T05:45:00Z,35.30,Charge 5
2023-06-04T05:56:00Z,12.20,Charge 5
2023-06-04T08:39:00Z,4.60,Charge 5
2023-06-04T08:40:00Z,23.00,Charge 5
2023-06-04T08:45:00Z,16.80,Charge 5
2023-06-04T08:56:00Z,4.60,Charge 5
2023-06-04T09:17:00Z,3.00,Charge 5
2023-06-04T09:34:00Z,5.30,Charge 5
2023-06-04T09:36:00Z,16.10,Charge 5
2023-06-04T09:37:00Z,23.00,Charge 5
2023-06-04T09:38:00Z,25.30,Charge 5
2023-06-04T09:42:00Z,16.10,Charge 5
2023-06-04T09:43:00Z,11.50,Charge 5
2023-06-04T09:44:00Z,3.80,Charge 5
2023-06-04T09:45:00Z,13.80,Charge 5
2023-06-04T09:52:00Z,5.30,Charge 5
2023-06-04T09:55:00Z,6.90,Charge 5
2023-06-04T09:56:00Z,6.90,Charge 5
2023-06-04T09:57:00Z,5.30,Charge 5
2023-06-04T09:58:00Z,9.20,Charge 5
2023-06-04T10:01:00Z,7.60,Charge 5
2023-06-04T10:03:00Z,17.60,Charge 5
2023-06-04T10:04:00Z,7.60,Charge 5
2023-06-04T10:05:00Z,18.40,Charge 5
2023-06-04T10:21:00Z,15.30,Charge 5
2023-06-04T10:26:00Z,3.00,Charge 5
2023-06-04T10:30:00Z,4.60,Charge 5
2023-06-04T10:33:00Z,13.00,Charge 5
2023-06-04T10:34:00Z,27.60,Charge 5
2023-06-04T10:35:00Z,6.90,Charge 5
2023-06-04T10:36:00Z,29.20,Charge 5
2023-06-04T10:37:00Z,63.80,Charge 5
2023-06-04T10:39:00Z,20.70,Charge 5
2023-06-04T10:40:00Z,19.90,Charge 5
2023-06-04T10:41:00Z,19.20,Charge 5
2023-06-04T10:42:00Z,20.70,Charge 5
2023-06-04T10:43:00Z,17.60,Charge 5
2023-06-04T10:44:00Z,5.30,Charge 5
2023-06-04T10:45:00Z,23.00,Charge 5
2023-06-04T10:46:00Z,12.20,Charge 5
2023-06-04T10:47:00Z,31.40,Charge 5
2023-06-04T10:48:00Z,5.30,Charge 5
2023-06-04T10:49:00Z,18.40,Charge 5
2023-06-04T10:53:00Z,5.30,Charge 5
2023-06-04T10:54:00Z,22.20,Charge 5
2023-06-04T10:59:00Z,5.30,Charge 5
2023-06-04T11:00:00Z,14.60,Charge 5
2023-06-04T11:01:00Z,13.80,Charge 5
2023-06-04T11:02:00Z,29.90,Charge 5
2023-06-04T11:03:00Z,23.00,Charge 5
2023-06-04T11:04:00Z,2.30,Charge 5
2023-06-04T11:08:00Z,17.60,Charge 5
2023-06-04T11:09:00Z,19.20,Charge 5
2023-06-04T11:10:00Z,8.40,Charge 5
