timestamp,temperature celsius,data source
2026-02-28T04:21:00Z,30.9,Charge 6
2026-02-28T04:22:00Z,30.8,Charge 6
2026-02-28T04:23:00Z,30.9,Charge 6
2026-02-28T04:24:00Z,30.9,Charge 6
2026-02-28T04:25:00Z,30.9,Charge 6
2026-02-28T04:26:00Z,30.7,Charge 6
2026-02-28T04:27:00Z,30.6,Charge 6
2026-02-28T04:28:00Z,30.6,Charge 6
2026-02-28T04:29:00Z,30.6,Charge 6
2026-02-28T04:30:00Z,30.6,Charge 6
2026-02-28T04:31:00Z,30.6,Charge 6
2026-02-28T04:32:00Z,30.6,Charge 6
2026-02-28T04:33:00Z,30.6,Charge 6
2026-02-28T04:34:00Z,30.5,Charge 6
2026-02-28T04:35:00Z,30.5,Charge 6
2026-02-28T04:36:00Z,30.4,Charge 6
2026-02-28T04:37:00Z,30.4,Charge 6
2026-02-28T04:38:00Z,30.3,Charge 6
2026-02-28T04:39:00Z,30.1,Charge 6
2026-02-28T04:40:00Z,30.0,Charge 6
2026-02-28T04:41:00Z,29.9,Charge 6
2026-02-28T04:42:00Z,29.7,Charge 6
2026-02-28T04:43:00Z,29.6,Charge 6
2026-02-28T04:44:00Z,29.4,Charge 6
2026-02-28T04:45:00Z,29.3,Charge 6
2026-02-28T04:46:00Z,29.3,Charge 6
2026-02-28T04:47:00Z,29.2,Charge 6
2026-02-28T04:48:00Z,29.2,Charge 6
2026-02-28T04:49:00Z,29.1,Charge 6
2026-02-28T04:50:00Z,29.0,Charge 6
2026-02-28T04:51:00Z,29.0,Charge 6
2026-02-28T04:52:00Z,28.9,Charge 6
2026-02-28T04:53:00Z,28.7,Charge 6
2026-02-28T04:54:00Z,28.7,Charge 6
2026-02-28T04:55:00Z,28.6,Charge 6
2026-02-28T04:56:00Z,28.5,Charge 6
2026-02-28T04:57:00Z,28.5,Charge 6
2026-02-28T04:58:00Z,28.5,Charge 6
2026-02-28T04:59:00Z,28.5,Charge 6
2026-02-28T05:00:00Z,28.5,Charge 6
2026-02-28T05:01:00Z,28.5,Charge 6
2026-02-28T05:02:00Z,28.6,Charge 6
2026-02-28T05:03:00Z,28.6,Charge 6
2026-02-28T05:04:00Z,28.6,Charge 6
2026-02-28T05:05:00Z,28.6,Charge 6
2026-02-28T05:06:00Z,28.6,Charge 6
2026-02-28T05:07:00Z,28.6,Charge 6
2026-02-28T05:08:00Z,28.6,Charge 6
2026-02-28T05:09:00Z,28.6,Charge 6
2026-02-28T05:10:00Z,28.6,Charge 6
2026-02-28T05:11:00Z,28.6,Charge 6
2026-02-28T05:12:00Z,28.7,Charge 6
2026-02-28T05:13:00Z,28.7,Charge 6
2026-02-28T05:14:00Z,28.7,Charge 6
2026-02-28T05:15:00Z,28.7,Charge 6
2026-02-28T05:16:00Z,28.8,Charge 6
2026-02-28T05:17:00Z,28.7,Charge 6
2026-02-28T05:18:00Z,28.8,Charge 6
2026-02-28T05:19:00Z,28.8,Charge 6
2026-02-28T05:20:00Z,28.8,Charge 6
2026-02-28T05:21:00Z,28.8,Charge 6
2026-02-28T05:22:00Z,28.9,Charge 6
2026-02-28T05:23:00Z,28.9,Charge 6
2026-02-28T05:24:00Z,28.9,Charge 6
2026-02-28T05:25:00Z,28.9,Charge 6
2026-02-28T05:26:00Z,29.0,Charge 6
2026-02-28T05:27:00Z,29.0,Charge 6
2026-02-28T05:28:00Z,28.9,Charge 6
2026-02-28T05:29:00Z,29.0,Charge 6
2026-02-28T05:30:00Z,29.0,Charge 6
2026-02-28T05:31:00Z,28.9,Charge 6
2026-02-28T05:32:00Z,29.0,Charge 6
2026-02-28T05:33:00Z,29.0,Charge 6
2026-02-28T05:34:00Z,29.0,Charge 6
2026-02-28T05:35:00Z,29.1,Charge 6
2026-02-28T05:36:00Z,29.2,Charge 6
2026-02-28T05:37:00Z,29.4,Charge 6
2026-02-28T05:38:00Z,29.5,Charge 6
2026-02-28T05:39:00Z,29.6,Charge 6
2026-02-28T05:40:00Z,29.6,Charge 6
2026-02-28T05:41:00Z,29.7,Charge 6
2026-02-28T05:42:00Z,29.8,Charge 6
2026-02-28T05:43:00Z,29.8,Charge 6
2026-02-28T05:44:00Z,29.9,Charge 6
2026-02-28T05:45:00Z,29.9,Charge 6
2026-02-28T05:46:00Z,29.9,Charge 6
2026-02-28T05:47:00Z,29.9,Charge 6
